"rotten_tomatoes_link","movie_title","original_release_date","content_rating","tomatometer_status","tomatometer_rating","tomatometer_count","audience_status","audience_rating","audience_count","gender","num_of_gender","num_of_casts","gender_rato_percentage","release_year","rating"
"m/my_life_as_a_dog","My Life as a Dog (Mitt Liv som Hund)",1987-05-01,"PG-13","Fresh",100,34,"Upright",90,8964,"Male",2,5,40,1987,"PG-13"
"m/nadine","Nadine",1987-08-07,"PG","Rotten",45,11,"Spilled",26,1742,"Male",11,14,79,1987,"PG"
"m/1014793-near_dark","Near Dark",1987-10-02,"R","Certified-Fresh",88,50,"Upright",74,24791,"Male",13,16,81,1987,"R"
"m/1015196-no_mans_land","No Man's Land",1987-10-23,"R","Rotten",50,6,"Upright",63,3162,"Male",9,17,53,1987,"R"
"m/1015218-no_way_out","No Way Out",1987-08-14,"R","Certified-Fresh",91,45,"Upright",72,20766,"Male",22,26,85,1987,"R"
"m/nuts","Nuts",1987-11-20,"R","Rotten",33,24,"Upright",72,4197,"Male",11,18,61,1987,"R"
"m/outrageous_fortune","Outrageous Fortune",1987-01-30,"R","Rotten",50,22,"Upright",61,7509,"Male",18,24,75,1987,"R"
"m/over_the_top","Over the Top",1987-02-13,"PG","Rotten",30,27,"Spilled",49,45757,"Male",16,18,89,1987,"PG"
"m/overboard","Overboard",1987-12-18,"PG","Rotten",44,32,"Upright",74,68319,"Male",14,18,78,1987,"PG"
"m/planes_trains_and_automobiles","Planes, Trains and Automobiles",1987-11-25,"R","Certified-Fresh",91,57,"Upright",87,183059,"Male",16,24,67,1987,"R"
"m/police_academy_4_citizens_on_patrol","Police Academy 4 - Citizens on Patrol",1987-04-03,"PG","Rotten",0,20,"Spilled",38,56187,"Male",21,30,70,1987,"PG"
"m/predator","Predator",1987-06-12,"R","Certified-Fresh",81,48,"Upright",87,389090,"Male",18,20,90,1987,"R"
"m/prince_of_darkness","Prince of Darkness",1987-10-23,"R","Rotten",58,36,"Upright",60,13918,"Male",9,14,64,1987,"R"
"m/1016832-project_x","Project X",1987-04-17,"PG","Fresh",75,20,"Spilled",55,8770,"Male",23,31,74,1987,"PG"
"m/radio_days","Radio Days",1987-01-30,"PG","Fresh",90,29,"Upright",84,11362,"Male",24,31,77,1987,"PG"
"m/raising_arizona","Raising Arizona",1987-01-01,"PG-13","Certified-Fresh",91,57,"Upright",85,89197,"Male",10,13,77,1987,"PG-13"
"m/rawhead_rex","Rawhead Rex",1987-04-17,"R","Rotten",25,8,"Spilled",39,3206,"Male",5,8,62,1987,"R"
"m/revenge_of_the_nerds_ii_nerds_in_paradise","Revenge of the Nerds II: Nerds in Paradise",1987-07-10,"PG-13","Rotten",7,27,"Spilled",34,25980,"Male",16,19,84,1987,"PG-13"
"m/rivers_edge","River's Edge",1987-05-08,"R","Fresh",87,39,"Upright",76,9122,"Male",10,14,71,1987,"R"
"m/1017712-robocop","RoboCop",1987-07-17,"R","Certified-Fresh",90,68,"Upright",84,226455,"Male",26,32,81,1987,"R"
"m/roxanne","Roxanne",1987-06-19,"PG","Certified-Fresh",88,40,"Upright",63,47231,"Male",9,14,64,1987,"PG"
"m/russkies","Russkies",1987-11-06,"PG","Rotten",14,7,"Spilled",43,1122,"Male",9,14,64,1987,"PG"
"m/salomes_last_dance","Salome's Last Dance",1987-01-01,"R","Rotten",43,7,"Upright",84,558,"Male",9,12,75,1987,"R"
"m/september_1987","September",1987-12-18,"PG","Fresh",67,15,"Spilled",52,4429,"Male",3,6,50,1987,"PG"
"m/slam_dance","Slam Dance",1987-10-02,"R","Rotten",20,5,"Spilled",54,954,"Male",12,21,57,1987,"R"
"m/some_kind_of_wonderful","Some Kind of Wonderful",1987-02-27,"PG-13","Certified-Fresh",78,41,"Upright",80,37962,"Male",10,19,53,1987,"PG-13"
"m/someone_to_watch_over_me","Someone to Watch over Me",1987-10-09,"R","Fresh",67,30,"Spilled",41,4357,"Male",10,15,67,1987,"R"
"m/spaceballs","Spaceballs",1987-06-24,"PG","Rotten",58,40,"Upright",83,435115,"Male",24,30,80,1987,"PG"
"m/1019779-stakeout","Stakeout",1987-08-05,"R","Fresh",88,26,"Spilled",56,19144,"Male",13,19,68,1987,"R"
"m/straight_to_hell","Straight to Hell",1987-06-26,"R","Rotten",33,9,"Spilled",58,2974,"Male",14,20,70,1987,"R"
"m/street_smart","Street Smart",1987-01-01,"R","Fresh",64,14,"Spilled",44,1343,"Male",12,17,71,1987,"R"
"m/1020451-summer_school","Summer School",1987-07-22,"PG-13","Fresh",63,30,"Spilled",58,27856,"Male",12,23,52,1987,"PG-13"
"m/superman_iv_the_quest_for_peace","Superman IV: The Quest for Peace",1987-07-24,"PG","Rotten",11,46,"Spilled",16,65984,"Male",18,22,82,1987,"PG"
"m/surf_nazis_must_die","Surf Nazis Must Die",1987-07-03,"R","Rotten",20,5,"Spilled",31,5005,"Male",3,6,50,1987,"R"
"m/1020659-suspect","Suspect",1987-10-23,"R","Fresh",67,18,"Spilled",58,6776,"Male",16,18,89,1987,"R"
"m/bedroom_window","The Bedroom Window",1987-01-16,"R","Fresh",72,18,"Spilled",49,1403,"Male",12,18,67,1987,"R"
"m/the_believers_1987","The Believers",1987-06-10,"R","Rotten",39,18,"Spilled",44,3467,"Male",18,23,78,1987,"R"
"m/big_easy","The Big Easy",1987-08-21,"R","Fresh",89,37,"Upright",61,6899,"Male",11,16,69,1987,"R"
