"show_id","type","title","release_year","rating","content_rating","tomatometer_status","tomatometer_rating","tomatometer_count","audience_status","audience_rating","audience_count","gender","num_of_gender","num_of_casts","gender_rato_percentage"
"s6301","Movie","The Dirt",2019,"TV-MA","NR","Rotten",38,72,"Upright",94,6710,"Male",3,3,100
"s6434","Movie","The Hard Way",2019,"TV-MA","R","Fresh",77,22,"Spilled",52,11223,"Male",5,5,100
"s6452","Movie","The Highwaymen",2019,"R","R","Rotten",57,138,"Upright",73,1339,"Male",6,8,75
"s6508","Movie","The Irishman",2019,"R","R","Certified-Fresh",96,439,"",86,1057,"Male",14,19,74
"s6539","Movie","The Knight Before Christmas",2019,"TV-14","NR","Fresh",70,20,"Spilled",42,225,"Male",1,4,25
"s6564","Movie","The Last Laugh",2019,"TV-MA","NR","Rotten",53,15,"Spilled",36,145,"Male",5,7,71
"s6571","Movie","The Last Summer",2019,"TV-14","NR","Rotten",17,6,"Spilled",24,70,"Male",2,6,33
"s6576","Movie","The Laundromat",2019,"R","R","Rotten",41,167,"Spilled",40,900,"Male",6,10,60
"s6736","Movie","The Outsider",2019,"TV-MA","NR","Rotten",5,20,"Spilled",12,249,"Male",5,15,33
"s6736","Movie","The Outsider",2019,"TV-MA","NR","Rotten",17,23,"Upright",68,782,"Male",5,15,33
"s6736","Movie","The Outsider",2019,"TV-MA","NR","Rotten",47,17,"Spilled",37,41,"Male",5,15,33
"s6747","Movie","The Perfect Date",2019,"TV-14","NR","Fresh",65,17,"Spilled",36,548,"Male",5,6,83
"s6752","Movie","The Perfection",2019,"TV-MA","NR","Certified-Fresh",72,92,"Spilled",57,541,"Male",2,5,40
"s6964","TV Show","The Unicorn",2019,"TV-14","NR","Fresh",91,11,"Upright",65,218,"Male",2,4,50
"s7036","Movie","Then Came You",2019,"TV-14","NR","Rotten",59,22,"Upright",76,253,"Male",5,8,62
"s7229","Movie","Triple Frontier",2019,"R","R","Fresh",70,132,"Spilled",55,2034,"Male",5,6,83
"s7329","Movie","Uncut Gems",2019,"R","R","Certified-Fresh",92,331,"",52,12112,"Male",3,4,75
"s7349","Movie","Unicorn Store",2019,"TV-14","NR","Fresh",64,86,"Spilled",41,1590,"Male",4,8,50
"s7391","TV Show","Van Helsing",2019,"TV-MA","PG-13","Rotten",24,226,"Spilled",57,609042,"Male",5,6,83
"s7402","Movie","Velvet Buzzsaw",2019,"R","R","Fresh",62,182,"Spilled",35,1746,"Male",4,8,50
"s7633","Movie","Wine Country",2019,"R","R","Fresh",65,84,"Spilled",30,472,"Male",1,6,17
"s70","Movie","14 Cameras",2018,"TV-MA","NR","Rotten",22,9,"Spilled",23,124,"Male",1,4,25
"s126","Movie","6 Balloons",2018,"TV-MA","NR","Fresh",86,29,"Spilled",56,325,"Male",2,4,50
"s162","Movie","A Christmas Prince: The Royal Wedding",2018,"TV-PG","NR","Rotten",50,16,"Spilled",32,135,"Male",4,7,57
"s175","Movie","A Futile and Stupid Gesture",2018,"TV-MA","NR","Fresh",67,43,"Upright",71,563,"Male",8,12,67
"s256","Movie","A Wrinkle in Time",2018,"PG","PG","Rotten",42,334,"Spilled",26,8801,"Male",6,13,46
"s263","Movie","A.X.L.",2018,"PG","NR","Rotten",27,22,"Upright",60,789,"Male",8,9,89
"s449","Movie","Amateur",2018,"TV-MA","NR","Fresh",60,5,"Upright",67,115,"Male",2,3,67
"s547","Movie","Ant-Man and the Wasp",2018,"PG-13","PG-13","Certified-Fresh",87,426,"Upright",75,24677,"Male",8,12,67
"s636","Movie","Avengers: Infinity War",2018,"PG-13","PG-13","Certified-Fresh",85,472,"Upright",91,58720,"Male",20,27,74
"s905","Movie","Big Kill",2018,"R","R","Rotten",22,9,"Upright",60,86,"Male",7,9,78
"s935","Movie","Bird Box",2018,"R","R","Fresh",63,160,"Spilled",57,7325,"Male",4,9,44
"s960","Movie","Black Panther",2018,"PG-13","PG-13","Certified-Fresh",96,512,"Upright",79,88211,"Male",10,13,77
"s972","Movie","Blaze",2018,"R","R","Certified-Fresh",95,91,"Upright",68,832,"Male",7,16,44
"s972","Movie","Blaze",2018,"R","R","Fresh",73,11,"Spilled",47,2117,"Male",7,16,44
"s1077","Movie","Brampton's Own",2018,"TV-MA","NR","Rotten",40,5,"Spilled",59,27,"Male",4,8,50
"s1274","Movie","Change in the Air",2018,"PG","PG","Rotten",11,9,"Spilled",50,48,"Male",4,8,50
"s1374","Movie","Christopher Robin",2018,"PG","PG","Fresh",73,270,"Upright",83,5748,"Male",6,7,86
"s1412","Movie","Class Rank",2018,"TV-MA","NR","Fresh",86,14,"Upright",67,153,"Male",4,8,50
"s1470","Movie","Come Sunday",2018,"TV-14","NR","Fresh",68,34,"Upright",60,146,"Male",5,5,100
"s1695","Movie","Delirium",2018,"R","NR","Rotten",0,5,"Spilled",39,72,"Male",3,5,60
"s1702","Movie","Den of Thieves",2018,"R","R","Rotten",41,135,"Upright",62,4426,"Male",8,9,89
"s1888","Movie","Duck Butter",2018,"TV-MA","NR","Rotten",57,37,"Spilled",42,120,"Male",2,7,29
"s1895","Movie","Dumplin'",2018,"PG-13","NR","Certified-Fresh",85,62,"Upright",74,1114,"Male",2,8,25
"s2071","Movie","Extinction",2018,"TV-MA","NR","Rotten",33,24,"Spilled",47,1237,"Male",4,16,25
"s2071","Movie","Extinction",2018,"TV-MA","R","Rotten",18,11,"Spilled",33,1918,"Male",4,16,25
"s2132","Movie","Father of the Year",2018,"TV-MA","NR","Rotten",0,11,"Spilled",50,361,"Male",3,5,60
"s2186","Movie","First Match",2018,"TV-MA","NR","Fresh",85,20,"Upright",82,188,"Male",3,3,100
"s2266","Movie","Freak Show",2018,"TV-MA","NR","Rotten",52,42,"Upright",69,189,"Male",3,9,33
"s2346","Movie","Game Over, Man!",2018,"TV-MA","NR","Rotten",19,16,"Spilled",46,1030,"Male",7,9,78
"s2451","Movie","God Bless the Broken Road",2018,"PG","PG","Rotten",17,12,"Upright",78,250,"Male",2,8,25
"s2456","Movie","God's Not Dead: A Light in Darkness",2018,"PG","PG","Rotten",10,20,"Spilled",54,1199,"Male",3,5,60
"s2609","Movie","Happy Anniversary",2018,"TV-MA","NR","Fresh",83,6,"Spilled",52,171,"Male",4,7,57
"s2768","Movie","Hold the Dark",2018,"TV-MA","NR","Fresh",71,83,"Spilled",31,1204,"Male",5,7,71
"s2805","Movie","Hope Springs Eternal",2018,"PG","PG","Fresh",88,8,"Spilled",32,120,"Male",1,3,33
"s2830","Movie","Hotel Transylvania 3: Summer Vacation",2018,"PG","PG","Fresh",62,118,"Spilled",48,3485,"Male",7,11,64
"s2833","TV Show","House of Cards",2018,"TV-MA","PG-13","Rotten",56,9,"Upright",69,4108,"Male",10,21,48
"s2838","Movie","How It Ends",2018,"TV-MA","NR","Rotten",17,18,"Spilled",16,1524,"Male",2,5,40
"s2931","Movie","Ibiza",2018,"TV-MA","NR","Fresh",67,24,"Spilled",39,515,"Male",2,5,40
"s3061","Movie","Irreplaceable You",2018,"TV-MA","NR","Rotten",32,19,"Spilled",59,216,"Male",4,8,50
"s3219","Movie","Jonathan",2018,"TV-MA","NR","Fresh",63,27,"Spilled",56,196,"Male",4,7,57
"s3616","Movie","Lez Bomb",2018,"TV-14","NR","Fresh",89,9,"Upright",67,160,"Male",2,4,50
