"name","score","year","votes","budget","gross","net_profit","runtime","gender","genre","genre_","rating_","director_","writer_","star_","country_","company_","female_indicator","title_unique_score","cpi","adj_gross","adj_budget"
"The Verdict",7.7,1982,37000,1.6e+07,53993738,37993738,129,2,"Drama",7,8,2360,340,1725,53,2022,0,1116,1.1717580416751,63267597,18748129
"Pieces",6.1,1982,9300,3e+05,2032311,1732311,85,2,"Horror",10,5,1408,1036,378,46,124,0,2,1.1717580416751,2381377,351527
"The World According to Garp",7.2,1982,25000,1.7e+07,29712172,12712172,136,2,"Comedy",5,8,905,1998,1877,53,1609,0,1248,1.1717580416751,34815476,19919887
"Diner",7.1,1982,19000,5e+06,14099953,9099953,110,2,"Comedy",5,8,195,335,2085,53,1460,0,1,1.1717580416751,16521733,5858790
"The Best Little Whorehouse in Texas",6,1982,10000,3.5e+07,69701637,34701637,114,2,"Comedy",5,8,478,2342,282,53,2042,0,1302,1.1717580416751,81673454,41011531
"The Year of Living Dangerously",7.1,1982,20000,1.3e+07,10278575,-2721425,115,2,"Drama",7,6,2042,975,1507,4,1460,0,1598,1.1717580416751,12044003,15232855
"The Last Unicorn",7.4,1982,25000,3500000,6455330,2955330,92,2,"Animation",3,3,1411,3140,960,52,1730,0,1153,1.1717580416751,7564085,4101153
"The Entity",6.7,1982,15000,9e+06,13277558,4277558,125,1,"Drama",7,8,2359,1286,165,53,143,1,1116,1.1717580416751,15558085,10545822
"Airplane II: the Sequel",6.2,1982,50000,1.5e+07,27150534,12150534,85,2,"Comedy",5,6,1457,2249,1863,53,1623,0,516,1.1717580416751,31813857,17576371
"The Toy",5.8,1982,11000,1.7e+07,47118057,30118057,102,2,"Comedy",5,6,2116,1274,1840,53,644,0,1121,1.1717580416751,55210962,19919887
"The House on Sorority Row",6,1982,7800,425000,10604986,10179986,91,1,"Horror",10,8,1666,2585,1196,53,2049,1,1202,1.1717580416751,12426478,497997
"Evil Under the Sun",7.1,1982,15000,1e+07,6110670,-3889330,117,2,"Crime",6,6,964,271,1760,52,833,0,534,1.1717580416751,7160227,11717580
"Death Wish II",6,1982,15000,2e+06,16100000,14100000,89,2,"Action",1,8,1796,889,321,53,1038,0,65,1.1717580416751,18865304,2343516
"Silent Rage",5.5,1982,5300,4500000,10490791,5990791,103,2,"Action",1,8,1772,2134,389,53,644,0,9,1.1717580416751,12292669,5272911
"Megaforce",3.7,1982,3400,2e+07,5675599,-14324401,99,2,"Action",1,6,970,442,168,18,1044,0,1,1.1717580416751,6650429,23435161
